Authors	Record Count	
Sciacca C	428	
Scott E	428	
Seez C	428	
Seixas J	428	
Sguazzoni G	428	
Sharan M	428	
Shepherd-themistocleous CH	428	
Shmatov S	428	
Shvetsov I	428	
Siado JE	428	
Simonis HJ	428	
Skinnari L	428	
Skovpen Y	428	
Skuja A	428	
Smith C	428	
Smith VJ	428	
Snyder C	428	
Soffi L	428	
Somalwar S	428	
Spiropulu M	428	
Stadie H	428	
Staiano A	428	
Stenson K	428	
Stickland D	428	
Stone R	428	
Stuart D	428	
Sulimov V	428	
Summers S	428	
Sur N	428	
Swartz M	428	
Szleper M	428	
Tatar K	428	
Teodorescu L	428	
Terkulov A	428	
Thakur S	428	
Tomalin IR	428	
Toms M	428	
Tonjes MB	428	
Toropin A	428	
Trevisani N	428	
Troshin S	428	
Tsirou A	428	
Tumasyan A	428	
Tuo S	428	
Tuominiemi J	428	
Turkcapar S	428	
Tuve C	428	
Tyurin N	428	
Ulmer KA	428	
Usai E	428	
Uzunian A	428	
Varela J	428	
Veckalns V	428	
Veelken C	428	
Velkovska J	428	
Veszpremi V	428	
Vila I	428	
Vlasov E	428	
Vlimant JR	428	
Volobouev I	428	
Voutilainen M	428	
Wagner SR	428	
Walsh R	428	
Wardle N	428	
Wimpenny S	428	
Wissing C	428	
Wolfe E	428	
Wyslouch B	428	
Xie S	428	
Xie W	428	
Yalvac M	428	
Yates BR	428	
Yohay R	428	
Yoo J	428	
Yu GB	428	
Zabi A	428	
Zarubin A	428	
Zhu RY	428	
Zou D	428	
Zucchetta A	428	
Aarrestad TK	427	
Abdullin S	427	
Akchurin N	427	
Albrow M	427	
Amapane N	427	
Anagnostou G	427	
Androsov K	427	
Antunovic Z	427	
Apresyan A	427	
Arneodo M	427	
Asavapibhop B	427	
Attikis A	427	
Aushev T	427	
Baarmand MM	427	
Bartosik N	427	
Battilana C	427	
Bauerdick LAT	427	
Bellan R	427	
Benato L	427	
Bernardes CA	427	
Bhardwaj A	427	
Bianchini L	427	
Biino C	427	
Boletti A	427	
Boudoul G	427	
Busza W	427	
Cali IA	427	
Candelise V	427	
Canepa A	427	
Caspart R	427	
Castaldi R	427	
Cerminara G	427	
Chabert EC	427	
Chanon N	427	
Chen KF	427	
Chinellato J	427	
Chlebana F	427	
Clare R	427	
Clement E	427	
Cockerill DJA	427	
Cornelis T	427	
Creanza D	427	
Cumalat JP	427	
Demiragli Z	427	
Demiroglu ZS	427	
Dissertori G	427	
Dittmann J	427	
Dorigo T	427	
Dragicevic M	427	
Durkin LS	427	
Fay J	427	
Fedi G	427	
Finco L	427	
Fiorendi S	427	
Fouz MC	427	
Gandrajula RP	427	
Garutti E	427	
Gascon S	427	
Gennai S	427	
Geurts FJM	427	
Giassi A	427	
Golubev N	427	
Gray L	427	
Grynyov B	427	
Guler Y	427	
Hahn KA	427	
Haller J	427	
Harris RM	427	
Heath GP	427	
Heath HF	427	
Hegeman J	427	
Hirschauer J	427	
Hits D	427	
Hoorani HR	427	
Horvath D	427	
Ingram Q	427	
James T	427	
Jayatilaka B	427	
Johnson KF	427	
Kadastik M	427	
Kalogeropoulos A	427	
Karacheban O	427	
Karapinar G	427	
Kasemann M	427	
Kaya M	427	
Kazana M	427	
Kellogg RG	427	
Khakzad M	427	
Khan WA	427	
Khukhunaishvili A	427	
Kiani B	427	
Kinnunen R	427	
Kirschenmann H	427	
Klima B	427	
Komaragiri JR	427	
Kropivnitskaya A	427	
Kucher I	427	
Lath A	427	
Lawhorn JM	427	
Leggat D	427	
Lelas D	427	
Lelek A	427	
Linden T	427	
Lipka K	427	
Lo KH	427	
Long OR	427	
Lopez-fernandez R	427	
Loukas D	427	
Maeshima K	427	
Maggi G	427	
Manzoni RA	427	
Marcellini S	427	
Marlow D	427	
Masciovecchio M	427	
Masetti G	427	
Matorras F	427	
Meijers F	427	
Menichelli M	427	
Mignerey AC	427	
Mironov C	427	
Missiroli M	427	
Modak A	427	
Mondal K	427	
Morse DM	427	
Mousa J	427	
Mrenna S	427	
Murray M	427	
My S	427	
Nahn S	427	
Nash K	427	
