NR,AU,AUNR
n176,"Rodriguez-Godoy, Mauricio",5.0
n176,"Camargo-Huertas, Hannia",6.0
n177,"Maceas, M.",1.0
n177,"Osorio, A. F.",2.0
n177,"Bolanos, F.",3.0
n178,"Reyes Gavilan, Aura Lisette",1.0
n179,"Serna-Lombo, Ambar Oriana",1.0
n180,"Montero Yaya, Karol Liceth",1.0
n180,"Cortes Olarte, Gonzalo Andres",2.0
n180,"Hernandez Gonzalez, Angel Uriel",3.0
n181,"Ceballos Delgado, Jose Miguel",1.0
n182,"le Blanc, Guillaume",1.0
n183,"Margarita Marin, Erli",1.0
n183,"Catalina Jimenez, Magda",2.0
n184,"Uribe Botero, Angela",1.0
n185,"Harris, Paul A.",1.0
n186,"Ruiz Herrera, Angie Lorena",1.0
n186,"Huertas Diaz, Omar",2.0
n187,"Blanco Cortina, David Jose",1.0
n188,"Perez-Bustos, Tania",1.0
n189,"Reyes Gomez, Alvaro Daniel",1.0
n190,"Sarmiento, Esteban",1.0
n191,"Jimenez, David",1.0
n192,"Fernanda Gutierrez, Ma",1.0
n192,"Orjuela, Alvaro",2.0
n192,"Luis Rivera, J.",3.0
n192,"Suaza, Andrea",4.0
n193,"Lopez, D. F.",1.0
n193,"Rojas, A. F.",2.0
n194,"Tejeiro Sarmiento, Clemencia",1.0
n194,"Ruiz Ruiz, Nubia Yaneth",2.0
n194,"Roa Martinez, Maria Gertrudis",3.0
n195,"Salazar, Sonia",1.0
n195,"Castillo, Luis",2.0
n195,"Montes, Luis",3.0
n195,"Martinez, Fabian",4.0
n196,"Fedossova, Alina",1.0
n196,"Buitrago Suescun, Oscar Yecid",2.0
n196,"Fedosov, Valery",3.0
n197,"Restrepo Pimienta, Jorge Luis",1.0
n197,"Cotrina Gulfo, Yamid Enrique",2.0
n197,"Daza Sagbini, Alberto Jose",3.0
n198,"Jimenez Pinzon, Neil Andres",1.0
n198,"Lopez Perafan, Jose Giovanny",2.0
n199,"Ceballos Delgado, Jose Miguel",1.0
n200,"Quebradas, David A.",1.0
n201,"Trujillo Torres, Sebastian",1.0
n202,"Hinestrosa, Fernando",1.0
n203,"Manuel Redondo, Johan",1.0
n203,"Olivar, Gerard",2.0
n203,"Ibarra-Vega, Danny",3.0
n203,"Dyner, Isaac",4.0
n204,"Viviana Alfonso-Avila, Julieth",1.0
n204,"del Pilar Leon-Rodriguez, Adriana",2.0
n204,"Esperanza Diaz-Marquez, Sonia",3.0
n204,"Enrique Quevedo-Reyes, Jorge",4.0
n205,"Janeth Lancheros-Cuesta, Diana",1.0
n205,"Carrillo-Ramos, Angela",2.0
n205,"Lancheros-Cuesta, Milena",3.0
n206,"Barreto, Idaly",1.0
n207,"Cely, Javier Enrique",1.0
n207,"Rocha, Oscar G.",2.0
n207,"Vargas, Mari J.",3.0
n207,"Sanabria, Rafael M.",4.0
n207,"Corzo, Leyder",5.0
n207,"Achiardi, Roberto E. D.",6.0
n207,"Zuniga, Eduardo A.",7.0
n208,"Cardona Howard, Faber Sneider",1.0
n208,"Rengifo Rojas, Luis Alberto",2.0
n208,"Guarin Martinez, Juan Felipe",3.0
n208,"Mazo Castro, Daniel Guillermo",4.0
n208,"Arbeliez Perez, Oscar Felipe",5.0
n209,"Caviedes Rubio, Diego Ivan",1.0
n209,"Amaya, Alfredo Olaya",2.0
n210,"Hernandez-Carrillo, Rodrigo",1.0
n210,"Beltran, Gloria",2.0
n211,"Leal Leal, Gloria E.",1.0
n211,"Himelda Ramirez, Maria",2.0
n212,"Ballen Vargas, Stephania",1.0
n212,"Londono, Margarita",2.0
n213,"Rueda Garcia, Laura",1.0
n213,"Pantoja, Oscar",2.0
n214,"Amparo Leiva-Morales, Luz",1.0
n215,"Arciniegas, Javier Sanclemente",1.0
n216,"Lopez Rodriguez, Rubiela Rocio",1.0
n217,"Avila Canamares, Ignacio",1.0
n218,"Camila Garzon-Velandia, Diana",1.0
n218,"Barreto, Idaly",2.0
n218,"Felipe Medina-Arboleda, Ivan",3.0
n219,"Daza Gonzalez, Alfonso",1.0
n220,"Diaz Pinzon, Jorge Enrique",1.0
n221,"Vera Leyton, Marcos",1.0
n222,"Parra-Polania, Julian A.",1.0
n223,"Authier, Michel",1.0
n224,"Galvis Norena, Andres Felipe",1.0
n224,"Perez Rendon, Angela Liceth",2.0
n224,"Gomez Fernandez, Adriana Marcela",3.0
n224,"Meile Perez, Luis Philip",4.0
n225,"Rubio Leon, Laura",1.0
n226,"Garzon Gonzalez, Rosmary",1.0
n227,"Cardona Lopez, Alexander",1.0
n227,"Pineda Torres, Franklin",2.0
n228,"Tejedor Estupinan, Joan Miguel",1.0
n228,"Gaitan Divantoque, Monica Zoraya",2.0
n229,"Roldan Martinez, Laura Camila",1.0
n230,"Mary Giraldo, Luz",1.0
n231,"Verhelst Montenegro, Salomon",1.0
n231,"Raga Rosaleny, Vicente",2.0
n232,"Ronden Herrera, Federico",1.0
n232,"Rojas Rojas, Angela Patricia",2.0
n232,"Parra, Laura",3.0
n232,"Saavedra, Carlos",4.0
n232,"Tones, Henry",5.0
n233,"Norena Osorno, Margot Sorely",1.0
n233,"Diaz Jimenez, Maria Carolina",2.0
n233,"Ramon Suarez, Gustavo",3.0
n233,"Echavarria Valencia, Duber Mary",4.0
n233,"Cuartas Montoya, Gina Paola",5.0
n234,"Leal Leal, Gloria E.",1.0
n235,"Eugenia Valencia-Maya, Victoria",1.0
n235,"Amanda Rovira-rubio, Rayen",2.0
n235,"Lorena Vargas-Marin, Paola",3.0
